Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
MMP13,-0.2478125,0.34961614092440324,0.3828125,8,0.9898389461302447,0.97517578125,False,False,down
NAGPA,0.1536777777777778,0.34961932137445534,0.5703125,9,0.9898389461302447,0.986577545700309,False,False,up
FABP6,0.17973333333333336,0.3497381594665796,0.359375,9,0.9898389461302447,0.97517578125,False,False,up
NHLRC3,0.14500000000000007,0.3503310463952341,0.65234375,9,0.9898389461302447,0.986577545700309,False,False,up
PPP1R12A,-0.34544444444444444,0.3509674234137546,0.1640625,9,0.9898389461302447,0.97517578125,False,False,down
CCL27,0.5347666666666666,0.3516961213512249,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,up
GM2A,0.1573,0.35174256015016614,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,up
HRAS,0.16201250000000003,0.3521450592148718,0.3125,8,0.9898389461302447,0.97517578125,False,False,up
CLSPN,-0.07971249999999999,0.3527570928917036,0.3828125,8,0.9898389461302447,0.97517578125,False,False,down
RRM2,-0.11289999999999999,0.352800478396201,0.3125,8,0.9898389461302447,0.97517578125,False,False,down
SELE,-0.05606,0.35297254883847107,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
CASP4,0.28598750000000006,0.35398608506891244,0.640625,8,0.9898389461302447,0.986577545700309,False,False,up
PROCR,0.20782222222222224,0.35400580442139745,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
CTSH,0.31880000000000003,0.35482951014477293,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
STX5,0.10193333333333332,0.3549783979271391,0.734375,9,0.9898389461302447,1.0,False,False,up
GGT1,-0.08476,0.35519788092135385,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,down
C2,-0.05515,0.35597800383620537,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
TNFRSF13B,-0.058190000000000006,0.3564994979454247,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
EHD3,-0.3581777777777778,0.3565036344583684,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
PSMG3,-0.37339999999999995,0.3567451330618494,0.546875,8,0.9898389461302447,0.986577545700309,False,False,down
MYL4,-0.1716222222222222,0.357504218733802,0.42578125,9,0.9898389461302447,0.97517578125,False,False,down
SH3GLB2,-0.37363999999999997,0.3581348853766285,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,down
NAP1L4,-0.38786999999999994,0.35835654170620657,0.375,10,0.9898389461302447,0.97517578125,False,False,down
FAM3C,-0.13112222222222222,0.35904687480436953,0.359375,9,0.9898389461302447,0.97517578125,False,False,down
TPK1,0.16001000000000004,0.3596661568607882,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,up
IFI30,0.17912999999999996,0.36017538966329055,0.625,10,0.9898389461302447,0.986577545700309,False,False,up
KIAA2013,-0.10851,0.3609980763367844,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,down
COPB2,0.5184,0.36099917615936317,0.8203125,9,0.9898389461302447,1.0,False,False,up
IL18R1,-0.07708999999999999,0.3624309535412762,0.625,10,0.9898389461302447,0.986577545700309,False,False,down
PTPN6,-0.38036000000000003,0.3633290068107692,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
CSF3,-0.2090777777777778,0.36335668334397575,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
TARS1,-0.21650999999999998,0.3636898265543935,0.375,10,0.9898389461302447,0.97517578125,False,False,down
TNFRSF10B,0.07136666666666668,0.364158098127351,0.359375,9,0.9898389461302447,0.97517578125,False,False,up
ADAM22,0.09640000000000001,0.36419484425900883,0.65234375,9,0.9898389461302447,0.986577545700309,False,False,up
NECTIN2,0.08874444444444445,0.36527706077145417,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,up
STX1B,0.27199999999999996,0.36586086622007963,0.578125,7,0.9898389461302447,0.986577545700309,False,False,up
UXS1,0.138875,0.3666907620258534,0.640625,8,0.9898389461302447,0.986577545700309,False,False,up
FABP2,-0.09846666666666665,0.36683180449911856,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
TAFA5,0.14608000000000004,0.3670373984526032,0.375,10,0.9898389461302447,0.97517578125,False,False,up
GDNF,0.18172499999999997,0.3672539842100934,0.3828125,8,0.9898389461302447,0.97517578125,False,False,up
STK4,-0.3436333333333333,0.3688888637901324,0.359375,9,0.9898389461302447,0.97517578125,False,False,down
FCAR,-0.09443750000000001,0.36894988675816504,0.3828125,8,0.9898389461302447,0.97517578125,False,False,down
ITM2A,-0.13861249999999986,0.3695857700762838,0.3125,8,0.9898389461302447,0.97517578125,False,False,down
AMBP,0.042370000000000005,0.3703165979688253,0.625,10,0.9898389461302447,0.986577545700309,False,False,up
